lon,lat
-73.13111,-16.540002
-73.141543,-16.513143
-73.148316,-16.483235
-73.160181,-16.45746
-73.180352,-16.439747
-73.20448,-16.430508
-73.229584,-16.429288
-73.252981,-16.43756
-73.274361,-16.452839
-73.295481,-16.468246
-73.319149,-16.480203
-73.34526,-16.485765
-73.368313,-16.478803
-73.384231,-16.455749
-73.395808,-16.428203
-73.407671,-16.401696
-73.424904,-16.38143
-73.447778,-16.371474
-73.472488,-16.370559
-73.497823,-16.374364
-73.522972,-16.379827
-73.547365,-16.382513
-73.570221,-16.376701
-73.591674,-16.362286
-73.61296,-16.345532
-73.63526,-16.332041
-73.658734,-16.322975
-73.682763,-16.316192
-73.706878,-16.310063
-73.730374,-16.301463
-73.752683,-16.288328
-73.773543,-16.27026
-73.794345,-16.253213
-73.816882,-16.245038
-73.84193,-16.249008
-73.866853,-16.252421
-73.888356,-16.240472
-73.902102,-16.215205
-73.908644,-16.185274
-73.916772,-16.157259
-73.933909,-16.13662
-73.954677,-16.118848
-73.975782,-16.102367
-73.99771,-16.089786
-74.021105,-16.084037
-74.045465,-16.079904
-74.069406,-16.072171
-74.089001,-16.092867
-74.10746,-16.114059
-74.127385,-16.129288
-74.151011,-16.132099
-74.175957,-16.124133
-74.197864,-16.107924
-74.213577,-16.084589
-74.222284,-16.055872
-74.227324,-16.025101
-74.236851,-15.998613
-74.256719,-15.98132
-74.279483,-15.968669
-74.302115,-15.95697
-74.323516,-15.942894
-74.342965,-15.924475
-74.361105,-15.904023
-74.3785,-15.882771
-74.395649,-15.86131
-74.412509,-15.839296
-74.442258,-15.820875
-74.451754,-15.7998
-74.468612,-15.78293
-74.492505,-15.774341
-74.516814,-15.767436
-74.5406,-15.759921
-74.563946,-15.750356
-74.586407,-15.737739
-74.608088,-15.722828
-74.629995,-15.709331
-74.653192,-15.70132
-74.677704,-15.699016
-74.70284,-15.700113
-74.728089,-15.702881
-74.752732,-15.70291
-74.775716,-15.693965
-74.794701,-15.6748
-74.809503,-15.650039
-74.825183,-15.627033
-74.846119,-15.612
-74.867482,-15.596769
-74.887755,-15.579711
-74.909625,-15.566787
-74.933236,-15.558158
-74.957501,-15.551154
-74.981594,-15.543713
-75.004649,-15.533507
-75.025669,-15.517983
-75.04538,-15.499759
-75.06502,-15.481531
-75.085885,-15.465879
-75.108074,-15.452878
-75.128382,-15.435718
-75.141438,-15.424949
-75.150684,-15.421438
-75.157212,-15.415191
-75.171594,-15.408823
-75.196141,-15.403535
-75.221031,-15.400831
-75.245633,-15.398861
-75.269934,-15.395133
-75.29372,-15.386827
-75.315308,-15.372505
-75.332555,-15.350926
-75.345568,-15.325151
-75.357383,-15.298855
-75.37349,-15.276529
-75.392723,-15.257253
-75.412703,-15.239229
-75.431609,-15.22008
-75.448051,-15.197254
-75.46512,-15.175949
-75.48645,-15.162398
-75.510386,-15.15356
-75.534271,-15.144629
-75.555431,-15.129206
-75.574525,-15.108948
-75.595074,-15.094242
-75.619247,-15.091377
-75.644513,-15.091263
-75.667788,-15.082839
-75.688002,-15.065043
-75.705395,-15.043517
-75.722995,-15.022798
-75.743129,-15.005597
-75.763696,-14.988888
-75.782811,-14.969965
-75.802371,-14.951413
-75.823124,-14.934933
-75.845359,-14.922002
-75.86889,-14.912707
-75.889406,-14.896403
-75.908412,-14.877168
-75.931333,-14.86909
-75.956572,-14.867087
-75.980394,-14.860026
-76.000819,-14.843024
-76.018261,-14.821053
-76.034628,-14.79868
-76.054289,-14.78153
-76.076604,-14.768312
-76.09893,-14.754922
-76.115932,-14.734547
-76.126825,-14.706617
-76.138422,-14.67914
-76.155861,-14.658109
-76.17461,-14.638481
-76.191938,-14.617165
-76.209133,-14.595592
-76.226281,-14.573984
-76.24002,-14.549218
-76.251178,-14.522197
-76.261584,-14.494813
-76.27199,-14.46758
-76.282971,-14.440733
-76.294907,-14.414398
-76.307021,-14.388084
-76.316954,-14.360682
-76.323176,-14.331494
-76.328922,-14.302119
-76.338086,-14.274487
-76.350191,-14.248232
-76.360221,-14.220594
-76.372364,-14.195246
-76.390587,-14.175055
-76.410615,-14.156267
-76.428664,-14.135525
-76.443663,-14.111826
-76.456978,-14.086447
-76.470603,-14.061317
-76.485805,-14.037681
-76.499449,-14.012663
-76.512481,-13.987088
-76.526788,-13.962641
-76.542111,-13.939089
-76.556623,-13.914798
-76.569872,-13.889434
-76.581763,-13.863042
-76.592354,-13.835842
-76.601376,-13.807849
-76.609727,-13.779552
-76.619317,-13.751855
-76.630317,-13.72487
-76.642788,-13.698813
-76.656866,-13.674093
-76.672748,-13.651116
-76.68673,-13.62646
-76.699313,-13.600508
-76.713104,-13.575591
-76.728762,-13.552357
-76.745357,-13.53011
-76.760984,-13.506857
-76.772591,-13.479733
-76.779491,-13.4503
-76.780054,-13.420377
-76.775262,-13.390724
-76.770931,-13.361036
-76.77233,-13.331003
-76.776729,-13.300943
-76.777618,-13.27154
-76.771167,-13.243165
-76.761047,-13.215109
-76.750983,-13.186594
-76.743361,-13.157386
-76.73989,-13.127874
-76.743197,-13.098432
-76.752408,-13.069959
-76.765853,-13.04397
-76.782923,-13.02203
-76.802397,-13.003753
-76.823831,-12.989353
-76.846599,-12.977706
-76.870278,-12.967998
-76.887893,-12.950494
-76.897145,-12.921672
-76.904941,-12.890488
-76.916175,-12.863258
-76.928691,-12.837679
-76.940322,-12.811154
-76.9533,-12.78561
-76.967443,-12.760974
-76.981788,-12.7365
